haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
0.13,0.12,0.85,9.40,-28.87,-4.52,244.87,230.25,165.72,0.04,0.84,0.62,20.02,-24.48,21.00,-196.99,-65.66,-118.01,135
0.27,0.16,0.81,-2.75,-17.82,3.17,252.18,233.90,158.67,0.07,0.76,0.52,6.35,-1.89,16.78,-198.76,-70.99,-133.40,135
0.21,0.08,0.72,3.78,-6.65,-0.43,239.39,221.11,142.80,0.03,0.80,0.64,23.07,-9.34,9.16,-196.99,-65.66,-131.69,135
0.21,0.13,0.85,15.93,-9.22,-1.40,237.56,230.25,148.09,0.08,0.84,0.54,15.32,-9.89,2.56,-184.57,-74.54,-140.24,135
0.20,0.12,0.82,2.50,-9.77,-8.30,235.73,217.46,142.80,0.06,0.85,0.65,11.05,-16.24,8.73,-211.19,-76.31,-135.11,135
0.30,0.15,0.87,8.73,-18.01,-1.71,241.21,222.94,141.04,0.24,0.82,0.57,15.20,-5.92,9.46,-182.79,-62.11,-135.11,135
0.24,0.15,0.80,-5.43,7.93,5.49,252.18,215.63,141.04,0.04,0.83,0.63,-4.88,2.08,-0.24,-179.24,-72.76,-141.95,135
0.08,0.11,0.76,-13.12,23.62,7.32,248.52,226.60,119.88,-0.11,0.89,0.56,-8.48,-15.63,-2.26,-189.89,-76.31,-135.11,135
0.24,0.13,0.82,-3.17,2.81,-1.40,246.70,221.11,125.17,0.07,0.85,0.52,3.42,-12.82,3.60,-175.69,-90.51,-141.95,135
0.30,0.14,0.79,-2.08,2.26,-0.49,241.21,201.01,158.67,0.12,0.84,0.55,9.09,-2.50,-0.12,-189.89,-69.21,-145.37,135
0.27,0.17,0.79,8.00,6.77,6.23,243.04,217.46,139.27,-0.06,0.85,0.55,10.74,15.50,-1.95,-179.24,-83.41,-138.53,135
0.20,0.12,0.82,-1.53,3.48,-5.80,241.21,230.25,158.67,0.11,0.82,0.67,7.32,-6.10,4.27,-186.34,-69.21,-145.37,135
0.24,0.13,0.79,-7.08,2.50,3.97,248.52,208.32,137.51,0.08,0.82,0.52,-7.51,-1.10,1.46,-184.57,-70.99,-136.82,135
0.23,0.14,0.79,-2.26,4.15,2.32,235.73,228.42,132.22,0.07,0.83,0.56,11.96,-3.97,0.92,-195.21,-70.99,-143.66,135
0.24,0.15,0.80,2.93,-4.58,-1.22,243.04,221.11,135.75,0.13,0.79,0.59,11.47,-0.92,-3.05,-189.89,-76.31,-148.79,135
0.30,0.17,0.82,3.97,2.20,1.04,230.25,230.25,130.46,0.10,0.82,0.56,10.93,4.76,-2.14,-184.57,-78.09,-123.14,135
0.22,0.14,0.81,-1.10,7.02,-0.55,243.04,228.42,149.85,0.10,0.80,0.57,7.26,2.69,-7.20,-182.79,-72.76,-135.11,135
0.26,0.16,0.81,-3.30,10.13,0.12,248.52,222.94,141.04,0.02,0.86,0.58,7.20,3.42,-1.16,-191.66,-63.89,-129.98,135
0.20,0.15,0.83,1.46,-0.55,-2.32,243.04,213.80,139.27,0.06,0.82,0.57,11.35,-1.65,0.06,-198.76,-67.44,-123.14,135
0.21,0.15,0.80,-0.37,2.38,-1.04,248.52,230.25,148.09,0.08,0.82,0.62,6.71,-2.69,1.10,-188.11,-70.99,-126.56,135
0.21,0.16,0.81,5.43,2.56,-3.11,235.73,217.46,160.43,0.05,0.84,0.55,9.58,-2.87,-0.37,-186.34,-72.76,-128.27,135
0.17,0.16,0.83,-0.37,-0.55,-4.46,232.08,228.42,153.38,0.08,0.81,0.54,10.99,-0.98,-5.92,-207.64,-58.56,-138.53,135
0.16,0.12,0.81,-6.35,14.95,-6.65,244.87,215.63,158.67,0.05,0.80,0.57,2.75,7.69,-22.83,-200.54,-72.76,-131.69,135
0.18,0.16,0.81,-1.77,19.47,-3.78,239.39,224.77,174.53,-0.09,0.81,0.57,12.70,14.10,-12.76,-225.38,-65.66,-114.59,135
0.14,0.14,0.82,0.06,5.13,-7.45,226.60,222.94,183.35,-0.11,0.81,0.60,11.78,0.24,-1.77,-220.06,-60.34,-129.98,135
0.12,0.10,0.78,7.45,-4.21,-2.56,244.87,226.60,172.77,-0.00,0.78,0.66,32.53,-3.78,5.74,-221.83,-55.01,-131.69,135
0.13,0.15,0.84,18.74,-3.17,-5.55,226.60,226.60,186.87,-0.04,0.91,0.36,19.53,-6.23,1.40,-220.06,-56.79,-140.24,135
0.10,0.15,0.85,-15.14,6.35,4.15,224.77,224.77,181.58,-0.08,0.85,0.59,-14.10,-1.10,6.96,-218.28,-72.76,-124.85,135
0.13,0.15,0.80,-12.27,-10.38,10.44,219.29,219.29,169.24,0.14,0.84,0.57,16.66,-2.75,5.92,-220.06,-67.44,-129.98,135
0.12,0.08,0.74,-6.29,11.41,-8.97,241.21,222.94,179.82,-0.05,0.81,0.54,-1.77,2.14,-14.10,-209.41,-63.89,-133.40,135
0.14,0.12,0.81,10.25,1.83,2.93,235.73,228.42,174.53,0.05,0.85,0.58,9.46,-3.60,7.02,-216.51,-56.79,-109.46,135
0.08,0.13,0.84,6.59,4.27,-2.38,226.60,226.60,169.24,-0.02,0.78,0.57,6.29,2.93,-12.02,-225.38,-62.11,-118.01,135
0.09,0.12,0.79,5.25,-2.50,-0.18,230.25,244.87,190.40,-0.12,0.84,0.66,8.79,-12.70,11.35,-221.83,-58.56,-128.27,135
0.11,0.17,0.87,3.17,-10.99,0.06,221.11,232.08,192.16,-0.02,0.86,0.50,7.81,-10.31,15.75,-225.38,-62.11,-124.85,135
0.08,0.12,0.87,-1.34,-9.46,8.30,224.77,228.42,178.06,0.04,0.82,0.63,0.00,-5.19,15.32,-216.51,-67.44,-126.56,135
0.16,0.15,0.78,-2.20,-25.02,-14.95,230.25,230.25,172.77,-0.10,0.87,0.54,13.98,-22.28,0.92,-214.73,-55.01,-135.11,135
0.19,0.19,0.84,-1.83,23.38,-8.79,226.60,233.90,162.19,-0.13,0.85,0.52,-5.25,-3.17,-9.89,-223.61,-74.54,-147.08,135
0.22,0.10,0.72,-17.64,0.37,4.27,224.77,224.77,185.11,0.05,0.76,0.52,-4.39,-4.88,4.52,-214.73,-62.11,-138.53,135
0.26,0.11,0.72,-17.09,8.85,2.75,222.94,215.63,172.77,0.05,0.85,0.54,-5.92,1.10,-5.37,-237.81,-74.54,-133.40,135
0.21,0.17,0.82,18.43,17.94,-5.86,221.11,224.77,178.06,-0.16,0.90,0.44,19.96,1.95,-4.21,-236.03,-65.66,-141.95,135
0.11,0.16,0.89,-2.50,-0.18,-2.01,230.25,226.60,183.35,-0.09,0.86,0.58,8.67,-4.21,1.10,-239.58,-72.76,-135.11,135
0.10,0.09,0.79,-2.32,0.43,5.49,206.49,221.11,178.06,-0.04,0.77,0.65,10.31,3.17,1.59,-227.16,-67.44,-140.24,135
0.08,0.11,0.84,7.26,11.41,4.09,222.94,222.94,190.40,-0.01,0.90,0.59,5.19,9.52,-15.44,-239.58,-51.47,-118.01,135
0.10,0.20,0.90,-13.55,-1.16,-3.36,222.94,226.60,200.98,-0.06,0.84,0.48,-2.26,-7.75,5.62,-234.26,-67.44,-133.40,135
0.09,0.08,0.75,-8.67,-9.40,-1.40,224.77,235.73,206.27,0.03,0.79,0.69,12.33,-5.00,4.39,-228.93,-69.21,-128.27,135
0.08,0.08,0.84,4.64,-8.36,2.56,232.08,228.42,192.16,0.01,0.79,0.65,8.24,-0.98,4.46,-220.06,-49.69,-133.40,135
0.12,0.08,0.79,-3.05,-4.03,8.12,230.25,233.90,183.35,0.01,0.75,0.63,8.06,6.71,4.58,-227.16,-63.89,-123.14,135
0.09,0.08,0.75,3.48,1.16,4.27,215.63,241.21,183.35,-0.04,0.80,0.59,15.63,2.38,1.16,-228.93,-51.47,-124.85,135
0.10,0.12,0.87,10.19,-2.93,-3.05,222.94,230.25,172.77,-0.05,0.84,0.59,17.82,-0.61,-1.83,-221.83,-51.47,-135.11,135
0.11,0.12,0.87,0.24,4.64,3.72,217.46,239.39,188.64,-0.10,0.82,0.62,0.73,15.93,-5.13,-241.35,-60.34,-116.30,135
0.04,0.10,0.86,-7.93,25.63,11.54,230.25,226.60,190.40,-0.18,0.83,0.57,-2.38,37.90,-17.15,-237.81,-60.34,-112.88,135
-0.02,0.12,0.77,-11.29,52.67,23.62,230.25,248.52,222.13,-0.29,0.79,0.48,1.04,74.04,-34.91,-257.33,-51.47,-80.38,135
-0.20,0.12,0.81,4.46,66.04,33.39,261.32,261.32,255.63,-0.32,0.79,0.58,18.68,74.16,-36.80,-260.88,-30.17,-53.02,135
-0.29,0.10,0.84,10.99,51.39,25.76,259.49,274.11,299.70,-0.31,0.72,0.54,22.34,62.62,-29.97,-267.97,-12.42,-18.81,135
-0.23,0.12,0.71,-2.99,64.39,25.15,285.07,310.65,317.33,-0.58,0.72,0.48,2.69,76.05,-34.73,-291.05,17.75,6.84,135
-0.47,0.10,0.68,-6.90,69.64,26.92,297.86,359.99,347.30,-0.71,0.69,0.41,-2.26,52.92,-34.24,-303.47,58.56,25.65,135
-0.49,0.15,0.58,-8.61,45.53,17.82,288.73,376.44,356.12,-0.78,0.64,0.33,9.46,37.48,-20.39,-315.89,85.18,44.47,135
-0.57,0.16,0.50,-2.01,42.85,17.88,301.52,411.16,354.35,-0.71,0.55,0.28,6.16,46.75,-35.95,-310.57,101.16,59.86,135
-0.67,0.15,0.46,0.06,57.07,13.43,327.10,436.74,368.46,-0.77,0.52,0.31,14.95,38.21,-28.44,-331.86,111.80,59.86,135
-0.76,0.16,0.43,1.53,49.38,8.00,321.62,460.50,373.75,-0.90,0.49,0.24,8.73,27.10,-23.80,-326.54,131.33,58.15,135
-0.77,0.18,0.34,-4.70,35.03,3.11,301.52,480.60,371.98,-0.85,0.44,0.16,10.80,22.89,-24.78,-337.19,170.37,61.57,135
-0.74,0.17,0.29,1.04,26.00,-0.24,317.96,500.70,366.69,-0.84,0.38,0.13,16.17,15.69,-18.80,-351.38,173.92,64.99,135
-0.87,0.16,0.26,-1.71,34.61,7.32,336.24,526.29,387.85,-0.97,0.37,0.24,5.80,5.31,-3.30,-337.19,209.41,64.99,135
-0.81,0.19,0.18,-4.21,-0.73,7.87,319.79,535.42,382.56,-0.89,0.37,0.07,6.59,4.33,2.44,-337.19,209.41,64.99,135
-0.81,0.21,0.23,2.14,4.39,5.62,325.27,529.94,387.85,-0.98,0.39,0.08,10.56,-5.37,10.25,-342.51,204.09,73.54,135
-0.78,0.19,0.22,1.40,-31.68,-3.36,325.27,522.63,370.22,-0.88,0.39,0.11,13.37,-36.62,22.95,-333.64,188.11,61.57,135
-0.74,0.20,0.23,5.13,-41.56,-14.47,343.55,489.74,373.75,-0.93,0.46,0.13,14.47,-29.48,25.70,-333.64,163.27,61.57,135
-0.80,0.17,0.37,9.95,-39.18,-4.70,314.31,482.43,391.38,-0.85,0.50,0.25,14.04,-40.28,24.11,-337.19,166.82,47.89,135
-0.74,0.18,0.45,5.07,-45.53,-20.51,310.65,460.50,366.69,-0.87,0.57,0.31,10.38,-53.10,42.85,-333.64,134.87,44.47,135
-0.64,0.16,0.53,5.55,-69.95,-16.54,314.31,416.64,377.27,-0.74,0.62,0.31,4.46,-57.86,46.39,-315.89,85.18,47.89,135
-0.56,0.13,0.60,-3.23,-76.17,-15.87,305.17,381.92,350.83,-0.60,0.67,0.42,3.05,-62.26,46.33,-299.92,40.82,25.65,135
-0.43,0.10,0.65,-3.66,-67.75,-11.96,301.52,359.99,340.25,-0.50,0.71,0.50,-0.98,-48.16,38.21,-283.95,14.20,13.68,135
-0.41,0.06,0.77,-1.65,-64.45,-14.95,303.35,310.65,306.75,-0.50,0.70,0.63,-0.49,-77.70,48.83,-237.81,-17.75,-17.10,135
-0.23,0.10,0.79,-13.43,-112.49,-39.73,297.86,279.59,273.26,-0.21,0.75,0.44,5.31,-83.25,38.82,-228.93,-51.47,-56.44,135
0.07,0.08,0.75,-11.54,-59.69,-31.01,285.07,266.80,225.66,-0.15,0.77,0.68,2.20,-44.49,28.14,-218.28,-51.47,-76.96,135
0.08,0.04,0.78,0.00,-28.44,-12.88,286.90,257.66,202.74,-0.02,0.75,0.67,5.86,-32.59,17.15,-209.41,-49.69,-102.61,135
0.12,0.05,0.75,-0.85,-3.78,2.62,272.28,261.32,178.06,-0.05,0.74,0.69,3.72,-4.03,10.38,-214.73,-58.56,-97.48,135
0.05,0.05,0.76,21.67,-9.95,-1.77,281.42,248.52,169.24,-0.09,0.83,0.49,28.44,0.92,0.00,-204.09,-62.11,-107.75,135
0.07,0.08,0.94,15.08,-2.50,0.00,263.14,248.52,176.30,-0.12,0.83,0.67,10.44,-2.01,1.22,-212.96,-56.79,-95.77,135
0.09,0.07,0.83,-1.59,-12.02,-2.26,244.87,244.87,183.35,-0.04,0.81,0.60,10.31,-7.14,6.23,-196.99,-65.66,-104.32,135
0.11,0.09,0.84,-1.95,-5.86,-1.83,257.66,254.01,174.53,-0.02,0.81,0.60,8.54,-2.26,2.99,-195.21,-70.99,-112.88,135
0.11,0.09,0.80,0.79,-6.71,-1.71,261.32,257.66,156.90,-0.02,0.79,0.54,14.95,-0.49,0.79,-193.44,-47.92,-100.90,135
0.09,0.09,0.75,4.64,2.44,0.85,264.97,232.08,163.95,-0.05,0.79,0.61,21.48,0.55,-1.40,-205.86,-46.14,-99.19,135
0.10,0.13,0.76,14.47,3.17,-1.46,261.32,239.39,171.01,-0.06,0.84,0.55,22.03,1.04,-3.85,-211.19,-58.56,-104.32,135
0.07,0.18,0.84,17.70,0.61,-3.30,248.52,244.87,169.24,-0.10,0.85,0.52,18.43,-8.42,1.16,-212.96,-63.89,-109.46,135
0.07,0.16,0.81,8.00,-2.14,-7.14,244.87,233.90,179.82,-0.05,0.87,0.54,22.77,-9.16,-1.34,-214.73,-51.47,-121.43,135
0.09,0.18,0.82,17.46,-1.28,-8.85,239.39,239.39,181.58,-0.03,0.89,0.52,32.04,-5.43,-3.42,-211.19,-44.37,-118.01,135
0.11,0.21,0.79,21.55,-0.31,-6.10,226.60,233.90,190.40,-0.01,0.89,0.46,37.41,6.16,-10.01,-225.38,-58.56,-135.11,135
0.05,0.22,0.85,29.30,8.00,-5.13,221.11,228.42,192.16,-0.06,0.92,0.49,44.13,-2.69,-10.31,-236.03,-58.56,-124.85,135
0.14,0.31,0.80,24.78,-4.15,-10.62,199.18,221.11,192.16,-0.07,0.93,0.37,31.43,3.60,-8.18,-241.35,-60.34,-147.08,135
0.03,0.31,0.83,16.30,7.51,-7.93,201.01,222.94,200.98,-0.09,0.96,0.41,37.72,-8.24,-0.12,-250.23,-40.82,-141.95,135
0.07,0.32,0.79,22.71,6.04,0.92,182.74,222.94,204.50,-0.11,0.93,0.43,29.72,1.16,0.00,-237.81,-49.69,-147.08,135
0.10,0.39,0.71,25.63,-12.70,3.23,175.43,222.94,222.13,-0.07,0.98,0.18,46.69,11.29,11.72,-228.93,-51.47,-162.47,135
-0.00,0.43,0.83,26.25,7.14,16.48,160.81,222.94,193.92,-0.12,0.99,0.34,22.03,12.33,-7.93,-234.26,-56.79,-160.76,135
0.06,0.46,0.73,22.28,7.20,-8.00,160.81,233.90,211.55,-0.13,0.99,0.13,35.95,-8.73,1.46,-252.00,-49.69,-167.60,135
0.09,0.50,0.75,14.65,-2.20,-7.08,144.36,213.80,206.27,-0.11,1.02,0.14,18.19,-2.69,-7.14,-237.81,-39.04,-160.76,135
0.06,0.53,0.70,12.08,2.38,-5.31,127.92,226.60,200.98,-0.13,0.98,0.14,21.18,-11.23,2.50,-243.13,-40.82,-155.63,135
0.03,0.54,0.67,9.58,-4.64,-8.36,129.74,224.77,202.74,-0.11,1.00,0.10,22.83,-11.47,2.26,-257.33,-55.01,-176.15,135
0.03,0.56,0.69,9.46,3.30,-1.40,144.36,221.11,188.64,-0.10,1.00,0.12,14.59,1.22,-2.01,-237.81,-46.14,-177.87,135
0.01,0.54,0.69,8.36,2.08,-4.39,129.74,232.08,199.21,-0.13,1.01,0.11,16.30,-7.87,-0.24,-253.78,-44.37,-176.15,135
0.04,0.55,0.72,2.38,-0.98,-6.71,118.78,217.46,185.11,-0.13,1.03,0.10,3.91,-7.57,0.24,-262.65,-42.59,-181.29,135
0.05,0.57,0.70,-8.24,-4.03,-3.85,98.68,222.94,186.87,-0.13,1.01,0.08,2.32,-4.33,1.83,-253.78,-51.47,-172.73,135
0.04,0.56,0.64,-1.77,-3.66,-1.10,100.51,224.77,188.64,-0.15,1.00,0.07,8.54,-2.50,0.06,-257.33,-44.37,-186.42,135
0.02,0.56,0.67,2.56,2.01,0.00,96.85,235.73,206.27,-0.13,1.02,0.10,11.90,-1.59,1.28,-255.55,-39.04,-184.71,135
0.06,0.57,0.70,2.38,-0.37,0.49,107.82,232.08,188.64,-0.10,1.01,0.10,10.01,-1.40,3.78,-252.00,-49.69,-167.60,135
0.03,0.56,0.69,1.16,0.55,2.32,104.16,217.46,195.69,-0.13,1.01,0.09,9.58,-1.83,3.72,-246.68,-58.56,-189.84,135
0.01,0.58,0.67,0.37,1.10,1.53,122.43,228.42,185.11,-0.19,1.01,0.10,3.30,-1.83,1.04,-237.81,-35.49,-188.13,135
0.02,0.56,0.66,-0.24,-1.22,-2.87,100.51,228.42,185.11,-0.10,1.01,0.07,10.44,-5.37,1.59,-260.88,-51.47,-183.00,135
0.05,0.57,0.69,0.06,-0.18,0.67,113.30,222.94,197.45,-0.11,1.01,0.11,9.40,-2.56,5.62,-239.58,-58.56,-179.58,135
0.03,0.55,0.67,4.03,-0.61,4.15,113.30,233.90,183.35,-0.14,0.99,0.12,9.89,-1.95,4.58,-260.88,-47.92,-193.26,135
0.03,0.56,0.67,3.23,1.46,3.66,113.30,233.90,186.87,-0.16,1.04,0.08,9.77,4.64,2.32,-239.58,-55.01,-189.84,135
0.05,0.60,0.68,-3.42,-3.11,4.09,120.61,215.63,183.35,-0.13,1.01,0.05,6.23,2.93,5.19,-250.23,-58.56,-186.42,135
0.03,0.56,0.68,2.50,0.79,3.42,115.12,224.77,213.32,-0.12,1.01,0.06,8.42,-1.34,4.70,-246.68,-44.37,-183.00,135
0.07,0.57,0.65,-1.83,-0.98,4.15,127.92,219.29,193.92,-0.10,1.01,0.09,7.02,2.44,2.87,-248.45,-53.24,-181.29,135
0.04,0.58,0.67,0.98,-3.17,2.56,113.30,208.32,197.45,-0.10,1.04,0.02,11.35,-1.04,3.42,-243.13,-47.92,-179.58,135
0.04,0.60,0.73,1.46,1.10,3.11,126.09,224.77,192.16,-0.15,1.05,0.05,-0.06,-0.67,4.70,-236.03,-44.37,-162.47,135
-0.00,0.55,0.73,-21.73,-10.13,3.11,131.57,211.98,186.87,-0.01,0.95,0.18,-11.23,-14.65,12.45,-227.16,-49.69,-164.18,135
0.07,0.49,0.55,-4.88,-12.51,-4.58,142.54,226.60,183.35,0.06,0.99,0.17,22.16,-7.75,1.40,-241.35,-39.04,-181.29,135
0.15,0.55,0.76,16.91,6.84,2.93,122.43,228.42,185.11,-0.06,1.02,0.16,7.20,2.08,4.46,-239.58,-47.92,-176.15,135
0.11,0.52,0.74,-6.90,-5.74,5.62,124.26,226.60,186.87,-0.00,1.03,0.12,-1.10,-4.70,7.87,-236.03,-62.11,-186.42,135
0.11,0.58,0.75,-10.44,-5.00,0.55,118.78,217.46,171.01,-0.05,1.01,0.12,-8.42,-2.99,10.62,-225.38,-44.37,-193.26,135
0.13,0.46,0.65,-10.07,-5.92,5.68,137.05,213.80,174.53,-0.03,0.99,0.18,2.75,-0.12,7.69,-236.03,-65.66,-183.00,135
0.18,0.56,0.72,-3.36,0.61,4.82,142.54,211.98,165.72,-0.04,1.05,0.13,1.22,10.25,2.93,-228.93,-47.92,-179.58,135
0.12,0.45,0.76,-11.35,9.70,12.33,149.85,197.36,165.72,-0.07,0.97,0.24,-12.76,11.90,-2.81,-223.61,-60.34,-150.50,135
0.11,0.42,0.74,-19.53,8.61,9.16,168.12,208.32,183.35,-0.02,1.02,0.21,-17.52,8.79,-4.39,-241.35,-67.44,-150.50,135
0.13,0.43,0.82,-30.27,14.83,9.70,184.57,224.77,188.64,-0.08,0.97,0.29,-33.57,15.44,-5.07,-236.03,-47.92,-148.79,135
0.08,0.39,0.79,-40.65,16.60,11.05,202.84,213.80,216.84,-0.12,0.95,0.34,-34.36,10.19,-2.26,-232.48,-62.11,-124.85,135
0.06,0.31,0.80,-35.83,11.05,8.73,224.77,239.39,220.37,-0.11,0.92,0.43,-32.35,4.76,2.69,-228.93,-62.11,-104.32,135
0.07,0.24,0.79,-34.97,3.17,7.57,233.90,241.21,225.66,-0.08,0.90,0.46,-26.06,5.62,3.66,-227.16,-60.34,-102.61,135
0.02,0.20,0.83,-33.39,2.99,6.65,246.70,232.08,216.84,-0.15,0.87,0.54,-26.55,9.64,0.06,-230.71,-60.34,-112.88,135
0.01,0.14,0.83,-34.48,1.83,4.09,264.97,257.66,188.64,-0.19,0.84,0.56,-26.00,3.36,0.12,-200.54,-58.56,-76.96,135
0.00,0.06,0.80,-31.25,-1.40,1.71,281.42,252.18,204.50,-0.10,0.78,0.67,-23.32,-11.47,2.87,-205.86,-53.24,-78.67,135
0.00,0.01,0.83,-30.27,-8.06,-4.27,294.21,254.01,178.06,-0.07,0.73,0.71,-18.74,-16.05,5.86,-212.96,-56.79,-82.09,135
0.05,-0.05,0.80,-20.26,-4.46,-2.20,294.21,264.97,178.06,-0.08,0.70,0.73,-15.20,-2.62,0.73,-181.02,-67.44,-75.25,135
0.06,-0.09,0.84,-19.78,-1.65,0.55,290.55,257.66,167.48,-0.09,0.67,0.77,-13.43,-3.66,4.03,-181.02,-63.89,-88.93,135
0.04,-0.13,0.82,-16.97,-1.04,-2.56,297.86,268.62,156.90,-0.09,0.66,0.77,-11.90,-6.29,0.43,-172.14,-55.01,-80.38,135
0.04,-0.14,0.80,-24.54,-3.30,-2.38,296.04,252.18,155.14,-0.10,0.62,0.72,-13.06,-3.30,2.93,-161.49,-62.11,-70.12,135
-0.01,-0.23,0.78,-39.37,-2.62,-0.67,299.69,263.14,133.98,-0.14,0.58,0.93,-21.61,-15.01,0.37,-168.59,-62.11,-90.64,135
0.09,-0.29,0.70,-10.86,-16.91,-3.42,307.00,255.83,130.46,0.01,0.49,0.80,-9.70,-11.41,-0.61,-168.59,-62.11,-73.54,135
0.10,-0.30,0.78,-20.26,-2.56,-7.32,303.35,266.80,126.93,-0.02,0.50,0.88,-11.17,-13.37,-2.93,-168.59,-69.21,-76.96,135
0.15,-0.33,0.76,-16.24,0.79,-3.72,301.52,275.93,121.64,0.03,0.49,0.90,-10.50,-0.31,0.73,-152.62,-60.34,-95.77,135
0.14,-0.37,0.80,-18.68,7.20,8.79,296.04,274.11,130.46,-0.03,0.44,0.93,-17.46,9.83,-0.55,-166.82,-60.34,-75.25,135
0.07,-0.42,0.74,-28.81,3.05,6.10,325.27,281.42,126.93,-0.08,0.39,0.91,-20.20,3.66,1.22,-145.52,-67.44,-75.25,135
0.06,-0.42,0.70,-34.36,-0.85,0.61,308.83,275.93,111.07,-0.07,0.34,0.92,-21.97,-4.70,3.97,-154.40,-51.47,-87.22,135
0.09,-0.48,0.64,-31.49,-3.91,0.31,317.96,266.80,95.20,-0.05,0.30,0.91,-17.33,-2.81,2.26,-154.40,-47.92,-94.06,135
0.06,-0.51,0.60,-22.58,-0.98,2.44,312.48,279.59,89.91,-0.03,0.23,0.94,-19.17,-4.15,-0.85,-140.20,-51.47,-90.64,135
0.05,-0.56,0.62,-25.57,-0.85,-3.05,327.10,279.59,75.81,-0.01,0.20,0.98,-19.47,-12.02,-0.31,-136.65,-69.21,-87.22,135
0.12,-0.59,0.54,-30.15,-8.97,-6.10,310.65,285.07,84.62,0.05,0.11,0.90,-22.89,-8.85,-1.89,-127.78,-53.24,-99.19,135
0.11,-0.64,0.50,-33.39,4.88,-9.09,330.76,275.93,72.28,-0.06,0.08,1.00,-18.13,-9.22,-2.26,-127.78,-60.34,-109.46,135
0.13,-0.68,0.42,-21.24,-4.76,-3.42,312.48,268.62,61.70,0.04,0.02,0.94,-10.44,-2.32,2.69,-143.75,-55.01,-97.48,135
0.17,-0.71,0.46,-20.87,8.00,2.44,296.04,259.49,70.52,-0.02,-0.01,1.01,-15.87,6.35,-0.18,-134.87,-53.24,-102.61,135
