haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
0.14,-0.02,0.80,9.34,-5.86,-5.98,378.27,827.80,114.59,0.00,0.73,-0.59,13.79,-3.66,-13.00,-296.37,519.98,-114.59,45
0.06,-0.06,0.83,10.38,7.57,-1.28,361.82,818.67,126.93,0.15,0.67,-0.68,12.39,0.37,-1.46,-298.14,535.95,-129.98,45
0.06,-0.02,0.81,3.30,13.55,10.07,365.48,818.67,130.46,0.04,0.66,-0.74,-6.65,-9.46,3.23,-310.57,516.43,-107.75,45
0.13,0.01,0.75,-16.36,1.16,9.46,356.34,816.84,146.33,-0.06,0.70,-0.58,6.96,18.01,6.71,-305.24,532.40,-129.98,45
0.15,-0.04,0.76,4.94,-19.35,7.81,349.03,824.15,139.27,0.02,0.73,-0.63,21.73,3.11,6.84,-310.57,534.18,-138.53,45
0.20,-0.05,0.75,14.89,9.40,-4.39,352.68,809.53,139.27,0.10,0.70,-0.77,28.26,-2.14,-6.71,-292.82,555.47,-135.11,45
0.11,-0.01,0.86,14.40,29.24,-6.53,350.86,833.29,137.51,-0.01,0.72,-0.86,13.06,-38.15,-9.22,-298.14,539.50,-133.40,45
0.10,0.03,0.93,13.43,20.81,-8.48,354.51,833.29,144.56,-0.11,0.76,-0.86,41.56,-17.52,-12.63,-319.44,532.40,-140.24,45
0.12,0.03,1.02,33.94,-6.10,6.47,374.61,849.73,146.33,-0.13,0.77,-0.87,33.39,-1.40,13.37,-310.57,551.92,-141.95,45
0.11,0.09,1.00,26.31,-32.47,-9.40,359.99,842.42,195.69,0.13,0.65,-0.89,24.11,11.47,19.96,-322.99,550.15,-164.18,45
0.16,0.14,0.89,9.46,-10.25,-7.08,363.65,835.11,199.21,-0.04,0.61,-0.94,14.71,2.75,8.18,-330.09,532.40,-174.44,45
0.15,0.19,0.87,1.59,-14.71,0.31,369.13,833.29,211.55,0.13,0.57,-0.92,16.36,1.10,3.97,-344.29,546.60,-171.02,45
0.22,0.21,0.88,7.39,3.91,4.27,361.82,825.98,215.08,-0.05,0.66,-0.89,5.98,0.37,-5.00,-347.83,535.95,-171.02,45
0.15,0.15,0.92,1.59,-10.80,7.81,359.99,824.15,213.32,0.13,0.58,-0.86,-0.85,9.09,6.35,-342.51,537.72,-186.42,45
0.18,0.18,0.82,-5.55,-6.90,5.98,352.68,831.46,206.27,0.05,0.67,-1.04,13.06,-6.65,-1.04,-324.76,537.72,-179.58,45
0.19,0.17,1.03,-5.13,0.85,0.92,359.99,820.49,223.90,0.10,0.63,-0.85,9.28,4.88,7.63,-342.51,530.63,-189.84,45
0.25,0.19,0.90,9.89,-10.31,-0.24,367.30,813.18,213.32,0.20,0.51,-0.82,-5.07,11.90,17.76,-340.74,518.20,-184.71,45
0.29,0.22,0.76,-5.74,-13.12,5.13,354.51,796.74,200.98,0.28,0.39,-0.84,-2.20,-7.20,14.65,-344.29,518.20,-184.71,45
0.36,0.27,0.71,-9.83,6.41,-4.15,358.17,796.74,208.03,0.08,0.51,-0.85,19.90,6.96,17.09,-337.19,518.20,-171.02,45
0.26,0.20,0.74,12.63,-14.28,-8.42,347.20,774.81,197.45,0.00,0.56,-0.86,-6.90,-10.07,-5.25,-335.41,516.43,-176.15,45
0.24,0.17,0.76,-13.92,-0.37,-1.83,363.65,787.60,195.69,-0.11,0.64,-0.80,9.40,-20.75,-16.66,-347.83,500.46,-157.34,45
0.09,0.09,0.86,0.73,12.88,-8.30,350.86,793.08,190.40,0.03,0.61,-0.66,14.83,-46.51,17.82,-333.64,514.65,-171.02,45
0.25,0.16,0.78,-0.43,20.08,-46.69,374.61,798.57,195.69,0.01,0.58,-1.01,-8.30,-32.59,20.20,-354.93,496.91,-129.98,45
0.25,0.18,0.84,-28.81,6.71,-36.87,391.06,789.43,172.77,-0.11,0.68,-1.10,-18.55,-5.92,26.06,-362.03,489.81,-106.03,45
0.26,0.12,0.88,-26.37,-30.64,-13.24,412.99,789.43,151.61,-0.02,0.74,-0.61,-32.71,-6.41,-0.49,-353.16,480.94,-87.22,45
0.04,-0.20,0.59,-50.17,15.08,-16.60,407.51,791.26,132.22,0.07,0.81,-0.60,29.91,59.08,26.25,-358.48,475.61,-85.51,45
0.26,-0.14,0.64,16.78,-62.38,25.21,407.51,776.64,128.70,0.11,0.69,-0.90,-4.70,33.75,-12.15,-354.93,482.71,-102.61,45
0.14,0.04,0.76,-18.37,-3.66,36.56,411.16,787.60,149.85,-0.19,0.64,-0.82,-38.70,-5.68,-33.26,-307.02,502.23,-90.64,45
0.07,-0.01,0.67,-48.16,15.93,21.73,409.33,807.70,98.73,-0.32,0.69,-0.79,31.25,20.51,-10.99,-307.02,505.78,-83.80,45
0.06,-0.04,0.76,27.65,-34.67,27.47,402.02,811.36,98.73,-0.28,0.94,-0.96,35.22,-25.45,-29.66,-314.12,505.78,-100.90,45
0.00,0.00,1.15,25.33,15.99,9.52,376.44,811.36,105.78,-0.28,0.85,-0.73,-2.62,27.71,-22.09,-307.02,523.53,-111.17,45
-0.08,-0.13,0.92,-20.08,-8.42,15.32,365.48,807.70,116.35,-0.13,0.70,-1.25,35.16,26.79,-16.97,-299.92,519.98,-121.43,45
0.07,0.14,1.15,6.77,-23.74,44.07,369.13,804.05,119.88,-0.07,0.83,-0.65,11.54,27.40,27.59,-296.37,541.27,-128.27,45
0.16,-0.03,0.90,16.66,-40.22,3.48,356.34,824.15,125.17,-0.03,0.63,-0.96,33.75,-10.56,24.48,-296.37,523.53,-135.11,45
0.19,0.20,0.96,16.36,-4.82,-23.13,363.65,813.18,132.22,0.03,0.65,-0.84,15.69,15.87,-4.70,-312.34,532.40,-136.82,45
0.07,0.06,0.86,9.03,-2.38,1.16,367.30,813.18,163.95,0.19,0.52,-0.92,21.85,-11.66,-6.77,-321.21,537.72,-148.79,45
0.15,0.17,0.76,18.07,26.43,1.16,358.17,811.36,162.19,0.38,0.29,-0.13,22.58,-70.37,-24.78,-315.89,532.40,-140.24,45
0.19,0.31,0.77,1.46,85.33,-20.94,378.27,824.15,153.38,-0.07,0.29,0.09,-4.58,-38.15,-27.47,-314.12,537.72,-100.90,45
0.08,0.27,0.64,21.42,45.17,12.63,367.30,824.15,111.07,-0.57,0.56,-0.79,-7.93,-48.83,-63.23,-292.82,555.47,-104.32,45
-0.32,0.14,1.06,-5.98,52.12,21.12,369.13,836.94,105.78,-0.08,0.56,-0.79,24.23,11.96,45.10,-308.79,532.40,-126.56,45
0.12,0.25,0.94,34.48,-39.49,-23.74,349.03,827.80,125.17,-0.15,0.70,-0.77,-7.02,-7.08,38.82,-331.86,519.98,-121.43,45
0.12,0.18,0.91,-13.92,-25.45,-40.95,370.96,816.84,153.38,-0.10,0.61,-0.83,-1.59,-11.84,26.55,-338.96,516.43,-128.27,45
0.13,0.13,0.78,-18.98,-12.33,-34.06,407.51,805.87,149.85,0.09,0.60,-0.79,14.77,5.00,4.27,-346.06,484.48,-118.01,45
0.20,0.10,0.79,8.61,-3.91,1.83,387.40,804.05,151.61,0.16,0.58,-0.80,15.20,-15.44,4.21,-353.16,509.33,-114.59,45
0.22,0.18,0.80,11.41,14.95,-10.25,392.89,787.60,163.95,0.01,0.62,-0.87,6.04,-17.21,-0.67,-354.93,500.46,-119.72,45
0.15,0.10,0.78,-7.20,13.43,-11.11,387.40,800.39,151.61,0.09,0.54,-0.84,-5.80,-26.92,-24.23,-340.74,496.91,-102.61,45
0.18,0.14,0.77,-13.61,34.61,8.73,376.44,793.08,137.51,-0.02,0.55,-0.90,21.36,-18.68,9.34,-328.31,505.78,-97.48,45
0.17,0.22,0.82,17.03,5.31,-10.44,391.06,815.01,130.46,-0.12,0.60,-0.75,3.17,4.88,5.19,-324.76,516.43,-97.48,45
0.06,0.09,0.71,-1.89,-7.81,-3.23,385.58,813.18,135.75,0.03,0.53,-0.79,2.99,10.44,10.25,-312.34,514.65,-116.30,45
0.12,0.13,0.72,-5.80,-12.39,1.95,381.92,813.18,135.75,-0.01,0.61,-0.72,10.13,0.98,-3.54,-317.67,498.68,-107.75,45
0.11,0.08,0.73,3.36,1.71,6.41,391.06,804.05,130.46,0.01,0.57,-0.85,13.12,16.36,-2.01,-308.79,511.10,-116.30,45
0.14,0.14,0.75,4.27,-11.35,15.50,370.96,802.22,135.75,-0.04,0.63,-0.83,20.51,-2.62,-7.20,-321.21,534.18,-135.11,45
0.11,0.11,0.79,13.06,5.55,4.21,370.96,805.87,142.80,-0.07,0.65,-0.90,18.62,6.35,-0.79,-303.47,530.63,-141.95,45
0.10,0.15,0.87,12.15,-6.96,6.23,363.65,813.18,142.80,-0.04,0.64,-0.83,14.53,-0.49,-12.21,-310.57,516.43,-138.53,45
0.08,0.13,0.87,2.81,8.36,9.03,352.68,813.18,146.33,-0.04,0.60,-0.82,12.82,7.32,11.47,-321.21,523.53,-148.79,45
0.10,0.14,0.81,2.14,-13.18,-4.27,347.20,815.01,176.30,-0.13,0.64,-0.97,17.76,6.23,10.19,-319.44,511.10,-164.18,45
0.07,0.15,0.87,6.77,-13.85,-2.87,341.72,805.87,163.95,0.04,0.59,-0.95,-0.98,-8.54,3.91,-330.09,514.65,-150.50,45
0.15,0.17,0.83,-14.10,3.91,-6.35,345.37,809.53,149.85,-0.09,0.64,-0.92,18.49,-5.00,4.46,-319.44,504.01,-153.92,45
0.10,0.18,0.88,13.31,-1.04,-5.25,352.68,798.57,160.43,0.12,0.58,-0.91,3.66,-11.90,0.24,-321.21,509.33,-148.79,45
0.19,0.20,0.88,-6.84,10.74,-3.30,381.92,798.57,171.01,0.00,0.59,-0.82,15.20,9.09,17.58,-328.31,498.68,-152.21,45
0.08,0.14,0.79,5.86,-16.91,-6.71,365.48,796.74,158.67,-0.11,0.63,-0.87,19.41,-6.04,-5.25,-326.54,521.75,-140.24,45
0.08,0.18,0.82,8.54,5.37,1.71,363.65,791.26,167.48,-0.11,0.59,-1.05,9.09,-16.48,-16.54,-317.67,509.33,-145.37,45
0.07,0.21,0.92,-5.55,20.94,3.05,354.51,800.39,158.67,0.01,0.51,-0.90,8.54,-28.93,-20.63,-314.12,519.98,-138.53,45
0.06,0.23,0.81,2.87,37.48,0.98,363.65,798.57,142.80,-0.20,0.56,-0.91,18.13,-17.03,-5.13,-326.54,532.40,-116.30,45
-0.08,0.20,0.82,11.60,17.03,-6.41,339.89,807.70,141.04,-0.22,0.51,-0.77,5.07,-37.41,-20.14,-308.79,521.75,-123.14,45
-0.16,0.17,0.73,-4.33,44.25,-8.12,358.17,818.67,119.88,-0.20,0.50,-0.88,24.17,-6.96,5.55,-303.47,516.43,-100.90,45
-0.14,0.23,0.78,13.79,5.13,-7.81,376.44,807.70,105.78,-0.20,0.53,-1.02,27.40,38.64,18.80,-285.72,523.53,-114.59,45
-0.05,0.29,0.91,18.43,-42.36,14.77,365.48,804.05,116.35,-0.22,0.49,-0.93,-0.43,-1.89,-8.97,-322.99,496.91,-119.72,45
-0.05,0.30,0.86,-6.65,4.82,11.60,374.61,805.87,111.07,-0.19,0.50,-0.95,0.00,3.17,5.37,-299.92,502.23,-124.85,45
-0.05,0.24,0.82,-11.78,-6.47,1.10,354.51,829.63,119.88,-0.45,0.55,-0.88,9.70,-2.81,3.23,-292.82,530.63,-97.48,45
-0.15,0.19,0.82,2.38,-8.18,-2.69,354.51,800.39,112.83,-0.14,0.47,-0.88,10.74,-30.15,-8.67,-314.12,516.43,-114.59,45
-0.09,0.26,0.80,2.93,32.35,-5.49,380.10,818.67,123.41,-0.31,0.45,-0.98,16.72,-17.76,5.62,-307.02,512.88,-94.06,45
-0.18,0.31,0.81,8.12,11.35,-9.77,380.10,822.32,116.35,-0.54,0.52,-0.92,16.85,-60.06,-16.30,-287.50,511.10,-85.51,45
-0.21,0.28,0.81,8.91,43.88,-19.90,369.13,825.98,81.10,-0.60,0.48,-0.92,2.20,-90.21,-41.56,-291.05,504.01,-75.25,45
-0.28,0.28,0.81,-1.65,80.44,-19.65,392.89,824.15,40.55,-0.64,0.43,-0.80,12.33,-66.10,-36.01,-257.33,480.94,-29.07,45
-0.40,0.21,0.67,5.49,63.60,-10.56,396.54,820.49,26.44,-0.57,0.39,-0.93,20.51,-47.79,-35.71,-246.68,477.39,-22.23,45
-0.43,0.25,0.76,6.77,57.01,6.77,385.58,813.18,-1.76,-0.70,0.40,-0.60,2.99,-60.73,-39.37,-221.83,466.74,11.97,45
-0.51,0.18,0.54,4.21,64.03,-0.49,392.89,802.22,-47.60,-0.72,0.32,-0.60,17.82,-46.20,-14.16,-209.41,461.41,27.36,45
-0.50,0.20,0.43,11.29,37.17,-14.40,385.58,794.91,-65.23,-0.85,0.26,-0.52,13.49,-81.67,-44.80,-211.19,441.89,46.18,45
-0.75,0.18,0.37,0.24,93.75,-18.19,385.58,791.26,-100.49,-0.97,0.18,-0.40,18.37,-42.11,-35.83,-202.31,415.27,58.15,45
-0.81,0.22,0.24,11.72,47.24,5.19,418.47,765.67,-114.59,-0.85,0.10,-0.45,12.70,-18.31,-29.66,-193.44,402.85,70.12,45
-0.80,0.20,0.21,0.18,36.80,15.14,400.20,754.71,-128.70,-0.95,0.10,-0.34,15.75,5.68,-9.77,-186.34,392.20,73.54,45
-0.86,0.19,0.13,8.67,3.91,13.18,394.71,752.88,-133.98,-0.92,0.07,-0.39,-0.12,-16.97,-16.42,-186.34,409.95,66.70,45
-0.78,0.24,0.15,-8.00,24.48,6.90,398.37,760.19,-126.93,-1.04,0.04,-0.32,-22.52,-45.35,-43.64,-161.49,385.10,100.90,45
-0.83,0.25,0.10,-28.75,51.88,10.62,391.06,749.23,-169.24,-1.00,0.00,-0.45,-31.07,-38.70,-32.90,-140.20,363.81,80.38,45
-0.88,0.26,0.18,-43.33,46.81,5.92,369.13,727.30,-176.30,-0.98,-0.03,-0.26,-35.16,3.78,-7.75,-111.80,353.16,100.90,45
-0.83,0.24,-0.00,-44.31,-4.58,14.53,349.03,721.82,-192.16,-1.03,-0.04,-0.13,-17.33,23.93,-0.92,-86.96,370.91,83.80,45
-0.98,0.23,-0.12,-19.29,-13.92,15.08,338.07,743.74,-192.16,-0.96,-0.05,-0.26,-18.19,5.37,1.34,-74.54,365.58,71.83,45
-0.94,0.26,-0.03,-27.10,5.13,0.61,321.62,752.88,-200.98,-0.89,-0.06,-0.26,3.11,6.16,9.89,-74.54,369.13,75.25,45
-0.82,0.28,-0.02,-0.43,-4.58,1.53,328.93,749.23,-193.92,-1.01,-0.01,-0.21,1.77,4.21,0.92,-58.56,363.81,66.70,45
-0.88,0.23,-0.03,-3.72,-3.23,0.18,317.96,741.92,-215.08,-1.01,-0.00,-0.22,6.41,8.06,2.62,-53.24,354.93,75.25,45
-0.94,0.23,-0.01,0.73,-4.58,0.73,312.48,729.12,-206.27,-1.02,0.01,-0.25,-5.00,9.40,-3.42,-44.37,367.36,83.80,45
-0.91,0.23,0.01,-6.16,-10.74,10.86,301.52,732.78,-230.95,-0.82,-0.09,-0.45,-25.27,6.41,-3.97,-58.56,367.36,73.54,45
-0.88,0.30,0.15,-44.56,20.87,6.29,305.17,747.40,-227.42,-0.95,0.08,-0.17,-31.92,32.23,21.97,-14.20,369.13,61.57,45
-0.86,0.20,-0.02,-31.49,-26.31,-0.61,255.83,741.92,-215.08,-0.93,0.01,-0.19,-18.13,-1.04,-5.43,-14.20,372.68,51.31,45
-0.88,0.22,-0.05,-23.80,8.54,4.09,255.83,745.57,-229.18,-1.06,0.01,-0.36,-18.68,-28.63,-21.61,7.10,344.29,64.99,45
-0.85,0.29,0.08,-22.95,24.54,4.27,243.04,729.12,-223.90,-0.85,-0.04,-0.29,6.77,5.25,-3.78,26.62,356.71,35.92,45
-0.92,0.23,0.06,-2.20,11.54,6.23,228.42,721.82,-241.52,-1.01,-0.01,-0.24,-1.40,-4.52,-1.40,31.94,358.48,30.78,45
-0.99,0.18,0.04,-8.97,12.45,-4.64,244.87,738.26,-239.76,-0.94,0.01,-0.22,-0.49,-8.06,-5.68,31.94,347.83,34.20,45
-0.85,0.22,-0.01,-5.86,11.66,-0.06,215.63,719.99,-222.13,-0.99,0.01,-0.25,4.03,-6.71,2.75,55.01,356.71,22.23,45
-0.90,0.22,0.04,-1.71,4.15,-5.55,211.98,738.26,-236.24,-0.97,-0.00,-0.35,13.24,1.77,7.08,39.04,351.38,30.78,45
-0.89,0.25,0.08,4.46,-3.48,-3.36,206.49,743.74,-241.52,-1.02,0.01,-0.28,-5.68,-8.48,-11.11,51.47,349.61,29.07,45
-0.91,0.23,0.04,-12.57,9.64,7.87,213.80,710.85,-223.90,-1.10,0.05,-0.24,-15.44,-6.29,-20.39,55.01,331.86,29.07,45
-0.93,0.20,0.05,-24.11,6.71,16.97,204.67,716.33,-246.81,-0.95,0.00,-0.27,-8.00,7.57,-4.64,60.34,347.83,20.52,45
-0.92,0.20,0.02,-19.96,3.78,9.09,199.18,721.82,-230.95,-1.07,0.03,-0.24,-12.33,-1.95,-6.53,67.44,337.19,6.84,45
-0.91,0.22,-0.01,-15.26,0.98,7.69,175.43,701.71,-232.71,-0.90,-0.07,-0.20,-8.42,13.79,-6.35,79.86,331.86,1.71,45
-0.86,0.28,-0.11,-14.53,-3.72,23.38,148.02,714.51,-248.58,-1.08,-0.08,-0.13,5.25,5.92,-21.48,90.51,324.76,-1.71,45
-0.94,0.25,-0.17,-0.49,6.29,21.36,148.02,685.27,-248.58,-1.06,0.01,-0.24,12.63,-14.77,-19.29,94.06,314.12,1.71,45
-0.92,0.21,-0.01,3.97,21.42,5.68,153.50,679.79,-218.61,-0.92,-0.08,-0.29,6.84,-14.65,-5.55,94.06,303.47,1.71,45
-0.83,0.28,-0.00,-2.32,15.14,-1.59,146.19,679.79,-239.76,-0.96,-0.14,-0.23,6.71,-10.50,-0.31,106.48,294.59,6.84,45
-0.82,0.32,-0.10,1.22,5.07,-1.34,155.33,663.34,-241.52,-0.94,-0.10,-0.25,10.44,-1.65,7.63,106.48,298.14,-3.42,45
-0.85,0.26,-0.05,3.17,-3.54,-4.58,160.81,690.75,-250.34,-0.97,0.01,-0.15,8.85,-3.78,37.23,101.16,299.92,-1.71,45
-0.81,0.14,-0.06,0.98,-24.48,-31.98,158.98,685.27,-248.58,-1.08,0.17,-0.20,12.45,-12.02,78.98,90.51,328.31,11.97,45
-0.90,0.02,0.02,-7.69,-44.07,-74.83,168.12,687.10,-229.18,-0.77,0.10,-0.29,22.77,36.38,106.38,60.34,379.78,10.26,45
-0.81,0.07,0.07,13.43,-91.19,-58.72,204.67,745.57,-236.24,-0.99,0.32,-0.27,16.91,21.55,89.90,19.52,402.85,22.23,45
-0.99,-0.03,0.25,4.15,-70.98,-55.60,211.98,767.50,-208.03,-0.97,0.46,-0.21,28.14,11.35,81.42,-5.32,434.79,15.39,45
-0.83,-0.12,0.27,20.57,-61.65,-54.32,239.39,798.57,-192.16,-0.92,0.59,-0.43,28.26,8.91,85.08,-42.59,461.41,23.94,45
