haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
-0.61,-0.04,-0.91,0.43,-35.28,3.11,405.68,467.81,-186.87,-0.66,-0.16,-0.75,5.55,-45.90,3.36,19.52,175.69,-442.95,180
-0.70,-0.03,-0.90,-7.08,-56.58,-6.84,391.06,497.05,-204.50,-0.85,-0.13,-0.80,2.69,-58.72,4.15,-3.55,198.76,-475.45,180
-0.69,-0.02,-0.75,-16.30,-54.87,2.38,396.54,517.15,-209.79,-0.77,-0.15,-0.54,-0.73,-30.40,7.08,0.00,220.06,-482.29,180
-0.75,-0.02,-0.78,-2.14,-15.08,0.79,391.06,544.56,-236.24,-0.82,-0.11,-0.61,8.18,12.63,1.22,3.55,216.51,-472.03,180
-0.73,-0.00,-0.69,-0.55,15.99,1.65,394.71,537.25,-232.71,-0.83,-0.12,-0.57,4.21,7.39,4.03,3.55,227.16,-478.87,180
-0.76,-0.00,-0.79,0.73,6.77,3.36,391.06,537.25,-229.18,-0.79,-0.12,-0.59,10.38,-3.48,0.85,-8.87,228.93,-473.74,180
-0.73,-0.02,-0.76,2.38,0.18,-0.55,381.92,528.11,-230.95,-0.83,-0.12,-0.67,10.86,-5.00,2.38,0.00,212.96,-468.61,180
-0.73,0.00,-0.75,0.06,-1.16,1.40,400.20,550.04,-227.42,-0.80,-0.12,-0.62,9.16,-10.19,4.03,0.00,234.26,-472.03,180
-0.75,-0.01,-0.76,0.85,-18.49,0.06,402.02,540.90,-225.66,-0.81,-0.12,-0.58,15.08,-26.00,-0.24,-1.77,246.68,-473.74,180
-0.76,-0.02,-0.72,6.59,-33.14,-4.82,402.02,559.18,-232.71,-0.92,-0.11,-0.59,12.15,-28.69,3.72,5.32,246.68,-484.00,180
-0.80,-0.03,-0.63,0.61,-33.94,3.54,398.37,570.14,-232.71,-0.87,-0.13,-0.46,8.54,-28.99,8.18,-1.77,264.43,-473.74,180
-0.83,-0.02,-0.60,-0.12,-27.47,2.99,391.06,588.42,-236.24,-0.92,-0.11,-0.46,7.39,-26.37,5.13,5.32,282.17,-470.32,180
-0.84,-0.01,-0.56,-1.16,-25.02,2.26,385.58,612.17,-227.42,-0.92,-0.10,-0.41,3.48,-9.22,2.87,-1.77,299.92,-477.16,180
-0.86,0.00,-0.55,-3.97,-0.37,2.44,387.40,606.69,-243.29,-0.94,-0.10,-0.42,8.36,1.28,3.85,1.77,307.02,-473.74,180
-0.87,-0.00,-0.54,0.92,0.00,1.28,405.68,614.00,-229.18,-0.94,-0.10,-0.42,8.42,-0.12,0.55,0.00,305.24,-465.19,180
-0.84,-0.01,-0.56,3.72,1.34,-1.53,383.75,610.35,-232.71,-0.93,-0.10,-0.46,10.74,3.23,0.85,14.20,315.89,-485.71,180
-0.85,0.00,-0.54,1.34,3.36,0.00,409.33,606.69,-232.71,-0.91,-0.10,-0.44,9.64,0.85,1.40,-3.55,294.59,-465.19,180
-0.83,-0.00,-0.56,1.77,2.93,-0.49,387.40,617.65,-246.81,-0.92,-0.10,-0.45,9.40,0.43,1.46,3.55,294.59,-478.87,180
-0.83,-0.00,-0.56,0.79,-0.55,0.24,405.68,617.65,-243.29,-0.91,-0.10,-0.46,8.30,-0.98,2.14,-1.77,285.72,-484.00,180
-0.83,-0.00,-0.57,-0.85,1.59,0.73,394.71,588.42,-239.76,-0.92,-0.10,-0.44,8.79,-0.06,2.75,0.00,301.69,-478.87,180
-0.84,-0.00,-0.55,-0.24,0.49,1.89,381.92,604.86,-238.00,-0.92,-0.10,-0.43,7.39,-1.34,2.44,-8.87,289.27,-484.00,180
-0.85,0.00,-0.57,1.53,-1.59,0.18,403.85,604.86,-238.00,-0.90,-0.10,-0.44,8.79,-0.98,1.34,-5.32,289.27,-487.42,180
-0.84,0.00,-0.57,1.71,0.55,-1.04,394.71,599.38,-232.71,-0.92,-0.10,-0.46,9.09,0.00,1.95,-1.77,303.47,-460.05,180
-0.83,-0.00,-0.55,0.98,1.77,0.37,405.68,595.73,-236.24,-0.91,-0.11,-0.43,7.02,-3.05,1.95,0.00,294.59,-472.03,180
-0.83,-0.00,-0.57,0.98,-2.14,0.00,407.51,593.90,-223.90,-0.93,-0.09,-0.44,8.48,-3.05,2.14,-3.55,308.79,-475.45,180
-0.84,-0.00,-0.56,0.55,-2.62,0.73,392.89,604.86,-230.95,-0.92,-0.10,-0.43,8.30,-0.24,1.53,1.77,296.37,-473.74,180
-0.84,-0.00,-0.56,1.28,-0.55,0.06,392.89,619.48,-241.52,-0.92,-0.09,-0.42,8.06,-1.40,1.34,12.42,299.92,-473.74,180
-0.84,-0.00,-0.57,1.95,-2.93,0.06,392.89,590.24,-227.42,-0.92,-0.10,-0.43,10.44,-7.32,3.60,3.55,312.34,-468.61,180
-0.88,0.00,-0.58,3.97,-11.05,0.92,407.51,619.48,-223.90,-0.88,-0.08,-0.36,21.73,-34.12,-2.69,10.65,319.44,-475.45,180
-0.86,-0.00,-0.55,20.45,-52.73,-9.77,392.89,634.10,-230.95,-1.01,-0.12,-0.38,17.03,-45.78,-5.19,28.39,333.64,-472.03,180
-0.87,-0.03,-0.42,-0.31,-44.31,-3.91,414.82,641.41,-223.90,-0.91,-0.10,-0.18,11.54,-68.12,-5.92,19.52,370.91,-453.21,180
-0.86,-0.05,-0.33,7.20,-80.81,-14.16,414.82,681.61,-209.79,-1.00,-0.16,-0.22,1.95,-70.01,-0.06,14.20,411.72,-437.82,180
-0.90,-0.01,-0.13,-21.18,-57.25,-2.69,414.82,710.85,-209.79,-1.02,-0.13,0.07,-10.07,-60.24,7.51,7.10,447.22,-437.82,180
-0.89,-0.05,-0.09,-19.17,-52.37,4.46,396.54,714.51,-213.32,-1.01,-0.12,0.13,3.36,-76.78,17.82,12.42,463.19,-432.69,180
-0.88,-0.04,0.03,-8.42,-83.62,12.51,398.37,760.19,-208.03,-0.93,-0.09,0.30,-1.53,-98.39,25.51,5.32,502.23,-412.17,180
-0.89,-0.02,0.19,-6.04,-100.10,14.77,365.48,793.08,-158.67,-0.85,-0.07,0.39,-3.30,-148.19,21.85,-1.77,559.02,-354.02,180
-0.74,-0.01,0.40,2.38,-110.66,15.32,361.82,847.90,-105.78,-0.80,-0.02,0.64,9.95,-86.12,8.18,-31.94,578.54,-311.26,180
-0.60,0.00,0.56,2.20,-79.41,3.11,359.99,849.73,-47.60,-0.60,-0.02,0.71,2.01,-62.19,5.37,-31.94,589.19,-263.38,180
-0.56,0.04,0.62,-4.09,-32.90,-0.06,369.13,858.87,-31.73,-0.60,-0.02,0.80,0.67,-34.73,-5.19,-19.52,573.22,-247.98,180
-0.36,0.00,0.71,-5.62,6.23,-3.60,381.92,868.01,-12.34,-0.68,-0.04,0.79,-2.38,-4.39,0.31,-19.52,587.42,-244.56,180
-0.47,-0.03,0.57,-2.38,0.61,1.46,365.48,880.80,-28.21,-0.64,-0.02,0.77,13.49,17.21,2.87,-35.49,585.64,-266.80,180
-0.54,0.00,0.64,8.18,20.87,0.06,374.61,857.04,-12.34,-0.68,-0.04,0.75,9.03,-3.66,2.81,-39.04,571.44,-266.80,180
-0.55,-0.01,0.60,0.79,5.13,4.64,370.96,875.32,-33.50,-0.67,-0.02,0.72,9.03,-8.36,1.77,-28.39,585.64,-270.22,180
-0.57,0.01,0.63,-0.43,-9.28,0.37,369.13,873.49,-28.21,-0.75,-0.03,0.77,6.90,-87.71,14.65,-37.27,562.57,-241.14,180
-0.45,0.01,0.63,2.81,-92.65,14.77,350.86,888.11,10.58,-0.44,-0.01,0.81,6.41,-80.32,15.87,-46.14,589.19,-212.07,180
-0.31,0.02,0.72,-3.36,-66.96,10.50,352.68,878.97,51.13,-0.42,0.01,0.92,16.42,-42.30,5.13,-42.59,585.64,-174.44,180
-0.20,0.04,0.80,10.80,-42.97,4.09,354.51,877.14,98.73,-0.35,0.03,0.92,13.43,-61.40,9.58,-56.79,578.54,-143.66,180
-0.18,0.05,0.82,1.71,-78.06,6.59,354.51,866.18,112.83,-0.11,0.03,1.01,10.25,-109.56,12.08,-69.21,580.32,-100.90,180
0.06,0.04,0.85,2.75,-90.27,4.64,334.41,853.39,174.53,0.00,0.05,0.89,7.14,-34.24,-3.42,-49.69,532.40,-58.15,180
0.14,0.04,0.83,-7.69,-30.21,-6.77,354.51,833.29,200.98,-0.01,0.01,0.96,3.23,-17.58,-5.43,-55.01,544.82,-42.76,180
0.20,0.03,0.79,-4.88,-23.62,-5.13,349.03,835.11,209.79,0.05,0.02,0.92,4.52,0.49,-0.12,-55.01,537.72,-49.60,180
0.17,0.03,0.83,-3.60,8.54,-1.28,349.03,820.49,213.32,0.05,-0.01,1.02,4.70,-14.22,3.23,-46.14,543.05,-64.99,180
0.18,0.00,0.83,-1.10,1.16,0.06,361.82,825.98,218.61,-0.03,0.00,0.95,4.70,6.41,0.00,-56.79,543.05,-61.57,180
0.12,0.02,0.78,-2.81,4.27,0.67,350.86,840.60,197.45,-0.03,0.01,0.98,14.53,-0.12,5.80,-51.47,527.08,-59.86,180
0.16,0.02,0.86,6.16,-4.52,3.66,343.55,833.29,204.50,0.03,0.01,0.98,5.74,1.89,1.22,-67.44,539.50,-58.15,180
0.16,0.02,0.84,-3.17,5.43,-1.28,352.68,838.77,199.21,-0.00,0.01,0.96,6.41,1.16,1.04,-49.69,535.95,-51.31,180
0.14,0.02,0.83,-3.23,2.75,0.31,354.51,840.60,204.50,-0.02,-0.00,0.97,3.78,2.44,1.28,-55.01,541.27,-63.28,180
0.14,0.02,0.81,-2.56,-1.28,0.92,347.20,822.32,193.92,-0.01,-0.00,0.98,9.52,-2.99,2.20,-58.56,537.72,-49.60,180
0.14,0.01,0.83,1.77,-1.65,0.85,352.68,846.08,202.74,0.01,-0.00,0.97,9.03,-0.43,1.40,-49.69,550.15,-54.73,180
0.14,0.01,0.83,0.06,-2.14,-1.22,354.51,822.32,197.45,-0.01,-0.00,0.97,7.51,-3.60,1.89,-67.44,546.60,-58.15,180
0.14,0.01,0.84,-1.46,3.30,1.04,343.55,833.29,190.40,-0.03,-0.00,0.96,5.07,-1.34,2.50,-60.34,543.05,-58.15,180
0.13,-0.00,0.82,-4.94,-1.77,2.38,361.82,833.29,186.87,-0.02,-0.02,0.99,8.12,-2.01,1.28,-58.56,562.57,-56.44,180
0.15,0.00,0.84,2.69,-9.28,1.40,354.51,836.94,208.03,0.04,-0.01,0.96,6.35,2.14,1.89,-55.01,534.18,-59.86,180
0.14,0.00,0.81,-2.14,2.26,-2.32,356.34,820.49,195.69,0.02,-0.01,0.99,9.03,3.72,2.32,-63.89,539.50,-58.15,180
0.13,-0.00,0.80,1.22,4.46,0.43,347.20,840.60,186.87,0.00,-0.01,0.97,11.35,1.46,2.38,-63.89,543.05,-47.89,180
0.12,0.01,0.83,2.81,-2.01,0.12,359.99,835.11,185.11,0.00,-0.00,0.96,8.73,-3.23,2.93,-56.79,539.50,-64.99,180
0.14,0.00,0.85,-2.93,0.79,0.00,352.68,838.77,202.74,-0.03,-0.01,0.97,5.49,-1.89,2.01,-63.89,546.60,-68.41,180
0.13,-0.01,0.81,-2.87,-0.24,1.34,350.86,833.29,193.92,-0.02,-0.03,0.99,9.40,-2.81,1.40,-53.24,553.70,-68.41,180
0.14,-0.01,0.82,2.99,1.34,0.85,341.72,849.73,192.16,-0.02,-0.01,0.96,8.97,1.10,1.22,-46.14,553.70,-64.99,180
0.12,0.00,0.82,0.12,4.52,-0.43,343.55,829.63,190.40,-0.03,-0.02,0.97,8.06,0.06,0.85,-60.34,543.05,-54.73,180
0.11,0.00,0.82,0.00,2.81,-0.43,354.51,844.25,172.77,-0.02,-0.01,0.97,9.28,2.32,2.20,-63.89,546.60,-61.57,180
0.11,-0.00,0.84,0.12,3.36,0.24,350.86,836.94,176.30,-0.03,-0.02,0.97,7.08,2.08,0.85,-47.92,541.27,-59.86,180
0.10,-0.00,0.82,-1.04,2.81,-1.16,345.37,838.77,188.64,-0.04,-0.02,0.97,8.36,0.49,1.40,-56.79,553.70,-75.25,180
0.10,0.00,0.82,-1.10,2.87,0.00,350.86,847.90,186.87,-0.04,-0.03,1.00,7.87,-0.37,1.16,-53.24,546.60,-71.83,180
0.11,-0.01,0.82,2.26,0.43,0.55,367.30,835.11,181.58,-0.04,-0.02,0.95,9.03,6.23,1.89,-69.21,562.57,-70.12,180
0.08,0.00,0.81,-0.67,3.66,-0.43,349.03,835.11,178.06,-0.06,-0.02,1.00,10.38,4.88,1.89,-46.14,543.05,-82.09,180
0.08,0.00,0.82,5.49,8.00,0.98,354.51,847.90,179.82,-0.06,-0.02,0.95,10.25,10.68,1.04,-49.69,560.80,-58.15,180
0.08,-0.02,0.81,2.26,11.29,1.04,349.03,842.42,174.53,-0.04,-0.02,1.02,13.06,-4.94,1.95,-53.24,550.15,-92.35,180
0.05,0.02,0.87,4.94,6.71,-1.89,347.20,851.56,193.92,-0.05,0.01,0.99,6.59,15.08,-3.36,-51.47,555.47,-76.96,180
0.03,0.04,0.84,-2.56,34.12,-6.96,361.82,851.56,162.19,-0.18,0.00,0.98,2.62,43.15,-2.56,-46.14,546.60,-112.88,180
-0.04,-0.01,0.77,-2.56,34.48,-2.62,380.10,862.52,141.04,-0.27,-0.02,0.93,12.39,26.12,-0.31,-51.47,580.32,-141.95,180
-0.08,0.01,0.81,5.55,21.42,0.43,347.20,869.83,112.83,-0.22,-0.01,0.97,10.62,47.49,-1.46,-51.47,580.32,-148.79,180
-0.18,0.02,0.81,3.97,52.12,-3.30,352.68,868.01,96.96,-0.30,-0.02,0.96,9.22,24.60,7.51,-39.04,582.09,-157.34,180
-0.22,0.01,0.78,2.75,45.23,4.21,343.55,880.80,74.04,-0.36,-0.01,0.89,7.14,31.80,4.70,-35.49,596.29,-171.02,180
-0.31,0.02,0.76,-2.08,53.28,3.23,358.17,884.45,45.84,-0.57,0.00,0.85,12.51,64.33,1.89,-46.14,589.19,-212.07,180
-0.42,0.05,0.71,5.80,37.66,2.32,349.03,893.59,37.02,-0.57,-0.00,0.82,8.30,35.95,5.98,-58.56,587.42,-237.72,180
-0.48,0.03,0.66,1.04,34.48,4.46,350.86,873.49,7.05,-0.65,0.02,0.74,9.83,31.37,2.50,-40.82,590.96,-244.56,180
-0.51,0.04,0.64,0.37,22.03,0.79,352.68,860.70,-5.29,-0.67,0.01,0.73,10.25,14.16,1.46,-49.69,596.29,-263.38,180
-0.49,0.03,0.64,2.38,19.35,0.79,358.17,873.49,-24.68,-0.59,0.00,0.74,12.63,53.10,-5.25,-47.92,587.42,-285.61,180
-0.61,0.04,0.55,8.24,71.47,-10.80,352.68,875.32,-54.65,-0.79,-0.01,0.60,6.90,40.47,-3.42,-28.39,560.80,-307.84,180
-0.62,0.01,0.48,-3.85,42.11,-1.28,369.13,869.83,-81.10,-0.81,-0.01,0.60,10.38,42.11,-1.59,-42.59,571.44,-328.37,180
-0.68,0.03,0.43,5.55,47.67,0.31,361.82,851.56,-91.67,-0.89,0.01,0.43,5.74,6.90,3.72,-37.27,544.82,-354.02,180
-0.72,0.03,0.38,-6.16,-3.78,2.50,358.17,858.87,-105.78,-0.85,-0.02,0.54,11.84,5.92,4.82,-31.94,553.70,-362.57,180
-0.82,0.02,0.36,8.12,8.24,0.67,361.82,840.60,-98.73,-0.84,-0.01,0.50,8.48,11.84,2.01,-33.72,537.72,-347.18,180
-0.78,0.03,0.37,-0.37,26.86,-1.10,367.30,842.42,-118.12,-0.98,-0.01,0.45,8.97,28.26,1.34,-31.94,546.60,-359.15,180
-0.79,0.02,0.33,0.98,13.79,3.85,365.48,836.94,-116.35,-0.84,-0.01,0.50,8.54,23.80,4.33,-21.30,546.60,-365.99,180
-0.78,0.04,0.29,2.75,39.12,3.91,365.48,825.98,-148.09,-0.95,-0.01,0.41,10.19,17.40,12.08,-44.37,541.27,-384.80,180
-0.83,0.05,0.26,3.48,20.45,11.90,376.44,822.32,-155.14,-0.91,0.03,0.30,7.87,-4.15,7.51,-40.82,534.18,-381.38,180
-0.81,0.07,0.24,-1.95,14.95,6.96,370.96,820.49,-156.90,-0.94,0.06,0.28,15.01,12.21,7.20,-28.39,525.30,-389.93,180
-0.87,0.09,0.23,2.44,7.87,6.53,363.65,816.84,-163.95,-0.92,0.05,0.30,9.28,14.40,1.28,-28.39,532.40,-396.78,180
-0.83,0.08,0.17,-1.40,15.81,-0.73,372.79,800.39,-172.77,-0.99,0.04,0.26,9.16,-1.04,2.44,-47.92,502.23,-405.33,180
-0.88,0.09,0.19,-0.85,8.06,2.75,343.55,815.01,-176.30,-0.98,0.02,0.32,5.98,12.51,0.61,-39.04,514.65,-393.36,180
-0.92,0.08,0.14,1.04,8.91,-0.55,361.82,807.70,-176.30,-0.98,0.04,0.28,8.67,6.59,3.05,-23.07,505.78,-419.01,180
-0.93,0.09,0.15,2.62,3.30,0.18,361.82,825.98,-169.24,-0.98,0.02,0.26,4.76,2.81,2.81,-30.17,509.33,-398.49,180
-0.95,0.07,0.16,-4.33,2.69,-1.04,378.27,798.57,-174.53,-1.05,0.02,0.22,7.63,-18.13,-1.65,-44.37,509.33,-412.17,180
-0.94,0.06,0.16,-0.98,-16.36,-7.32,367.30,794.91,-178.06,-1.04,0.03,0.32,5.37,-3.60,-17.03,-26.62,502.23,-412.17,180
-0.91,0.08,0.18,1.16,-7.26,-15.01,352.68,798.57,-171.01,-0.89,-0.01,0.39,-3.54,-24.05,4.15,-26.62,505.78,-401.91,180
-0.92,-0.01,0.17,-3.42,8.00,-3.85,349.03,809.53,-171.01,-0.86,-0.05,0.24,5.80,1.71,-16.05,-15.97,484.48,-388.22,180
-0.82,0.02,0.22,-2.32,11.35,-20.08,352.68,780.29,-174.53,-0.98,-0.05,0.23,0.06,-27.10,-14.47,-12.42,488.03,-401.91,180
-0.70,0.02,0.21,-12.94,-9.95,-2.99,358.17,774.81,-165.72,-0.89,-0.09,0.29,11.60,-9.70,-4.09,-7.10,475.61,-396.78,180
-0.83,-0.05,0.23,1.83,6.16,-10.31,372.79,785.77,-172.77,-1.11,-0.10,0.35,4.58,-12.51,-9.40,-26.62,463.19,-398.49,180
-0.77,-0.07,0.18,-4.21,-18.31,0.98,367.30,769.33,-178.06,-0.81,-0.08,0.37,5.55,-32.10,1.34,-12.42,477.39,-388.22,180
-0.73,-0.06,0.27,-0.06,-15.63,-5.86,369.13,771.15,-162.19,-0.86,-0.13,0.40,7.14,-2.44,-7.51,-14.20,475.61,-386.51,180
-0.65,-0.09,0.28,-1.59,1.59,-1.53,365.48,771.15,-162.19,-0.92,-0.10,0.46,3.60,-5.80,18.07,-8.87,456.09,-384.80,180
-0.85,-0.03,0.30,-2.69,-19.78,16.66,378.27,776.64,-160.43,-0.94,-0.11,0.44,3.72,6.23,12.51,-21.30,472.06,-403.62,180
-0.88,-0.04,0.20,-5.37,9.52,11.35,352.68,776.64,-167.48,-0.94,-0.11,0.40,10.50,-11.66,16.91,-23.07,480.94,-388.22,180
-0.83,-0.05,0.22,4.52,-3.85,16.11,358.17,782.12,-155.14,-0.91,-0.06,0.15,28.99,-48.40,6.47,-37.27,488.03,-398.49,180
-0.77,0.02,0.24,-3.30,-41.26,-0.49,347.20,793.08,-155.14,-0.84,-0.05,0.45,13.06,-37.11,-2.20,-33.72,505.78,-395.07,180
-0.70,-0.04,0.27,-3.11,-28.08,-2.08,339.89,811.36,-123.41,-0.70,-0.06,0.62,9.52,18.74,-10.38,-40.82,498.68,-374.54,180
-0.66,-0.03,0.29,-3.30,18.49,-16.36,350.86,811.36,-133.98,-0.89,-0.12,0.61,12.94,21.06,1.40,-17.75,496.91,-383.09,180
-0.85,-0.02,0.31,8.97,3.17,2.44,361.82,778.46,-144.56,-0.84,-0.10,0.40,7.39,1.95,1.46,-8.87,495.13,-388.22,180
-0.87,0.04,0.37,3.60,11.72,-16.72,367.30,783.95,-135.75,-1.05,-0.03,0.46,6.29,-0.85,-17.52,-5.32,480.94,-388.22,180
-0.72,0.03,0.42,-7.08,-4.76,-7.14,363.65,787.60,-121.64,-0.95,-0.02,0.46,-13.06,-22.95,16.60,-26.62,484.48,-395.07,180
-0.72,0.02,0.27,-17.64,-14.34,16.91,339.89,774.81,-144.56,-0.92,-0.06,0.38,10.19,-24.72,10.44,-21.30,486.26,-393.36,180
-0.76,0.02,0.35,8.36,-24.60,5.55,341.72,794.91,-149.85,-0.74,-0.00,0.43,13.12,2.01,-0.43,-33.72,498.68,-398.49,180
-0.65,0.04,0.41,-1.34,26.18,-1.16,345.37,794.91,-139.27,-0.91,-0.07,0.49,-7.87,-7.14,14.40,-33.72,505.78,-374.54,180
